Time,Accel. Lat (m/s2),Accel. Long (m/s2),Airmass (mg/stk),Airmass SP (mg/stk),Ambient Press (kPa),Ambient Temp (°F),Battery Volts (V),Boost (psi),BPA Deviation (%),BPA Pos (%),WG Position (%),BPA SP (%),Brake Press (bar),Calc HP (hp),Calc TQ (lbft),Cat Temp (°F),Comb Mode (),Coolant Temp (°F),Cruise (),Current map (),DV Position (%),Eng State (),Engine Speed (rpm),EOI Actual (°),EOI Limit (°),Eth Content (%),Exh Flow Fac (),Exh Press Des (kPa),Exhaust Cam (°),FAC_MFF_ADD_FAC_LAM_AD (%),FAC_MFF_BAS_CUS (),FAC_TQ_REQ_DRIV_DROF (),FAC_TQ_REQ_PV (),Fastest Wheel (km/h),Flex IAT add (),Flex IAT weight (),Flex Lambda add (),Flex Lambda weight (),Flex MPI add (),Flex MPI weight (),Flex PUT Adder (kPa),Flex PUT weight (),Flex Spark Adder (°),Flex Spark weight (),Flex Torque Adder (ft-lb),Flex Torque weight (),FP DI (bar),FP DI SP (bar),FP MPI (kPa),FP MPI SP (kPa),Fuel Flow (g/min),Fuel Flow SP (mg/stk),Fuel Split MPI (),fup_efp_ctl_ad (kPa),fup_efp_ctl_i (kPa),fup_efp_dif (kPa),Gear (),HPFP Eff Vol (%),IAT (°F),Ign Table Value (°),Ign Timing Avg (°),Inj Duty DI (%),Inj Duty MPI (%),Inj PW DI (ms),Inj PW MPI (ms),Int Flow Fac (),Intake Cam (°),knk nl0 (V),knk nl1 (V),knk nl2 (V),knk nl3 (V),knks_cmd_gain_ad0 (),knks_cmd_gain_ad1 (),knks_cmd_gain_ad2 (),knks_cmd_gain_ad3 (),knks_rng_h0 (V),knks_rng_h1 (V),knks_rng_h2 (V),knks_rng_h3 (V),knks_thd0 (V),knks_thd1 (V),knks_thd2 (V),knks_thd3 (V),Knock Avg (°),Knock Cyl 1 (°),Knock Cyl 2 (°),Knock Cyl 3 (°),Knock Cyl 4 (°),LACO State (),Lambda (),Lambda Delta (),Lambda PID (%),Lambda SP (),Lambda SP Filtered (),LPFP DC (%),LTFT (%),LV_PRS_IM_SP_UP_THD (),MAF_COR (),MAP (kPa),MAP SP (kPa),MBT Ignition (deg crank),Misfire Cyl 1 (),Misfire Cyl 2 (),Misfire Cyl 3 (),Misfire Cyl 4 (),Misfire Sum (),Muffler Temp (C),Oil Temp (°F),PCV Mean Voltage (V),PCV PSI (psi),Pedal Pos (%),Port Flap Pos (),PQ_THR_SP_1 (),Press Ratio (),PRS_UP_THR_WIDE_OPEN_THR (hPa),PUT (kPa),PUT I Inhibit (),PUT SP (kPa),PUT_DIF_PUT_CTL (hPa),PUT_INC_MMV (hPa),put_sp_optm_resp (kpa),Slowest Wheel (km/h),SOI Actual (°),SOI Limit (°),STATE_ALFU (),STATE_ALFU_CTL (),Steering Angle (°),STFT (%),Target Slip (km/h),TC Active (),TC D (),TC I (),TC Ignition pull (km/h),TC P (),TC PID (),TC WG pull (%),TC Wheel Slip (km/h),TEG_DYN_UP_TUR (C),Torque (Nm),Torque Lim (),Torque Max (Nm),Torque Req (Nm),Total Trim (%),TPS (°),tqi_add_puc_open_thr[0] (nm),Turbine Temp (°F),Turbo Speed (krpm),Valve Lift Pos (),Vehicle Speed (mph),WG Flow Des (kg/hr),WG I Value (%),WG P-D Value (%),WG Pos Base (%),WG Pos Final (%),WG Current (a),WG Voltage (V),Wheel Speed FL (mph),Wheel Speed FR (mph),Wheel Speed RL (mph),Wheel Speed RR (mph),FAC_LAM_AD_OUT_FMSP[0] (%),MFF_ADD_LAM_AD_OUT_FMSP[0] (mg/stk),FAC_LAM_LIM[1] (%),MFF_SP_CLC[0] (mg/stk),SimosTools [R1.73:2025_10_9:mpi 1.4.bin]
494.319,0.004223149,-0.50785094,111.13759,112.798615,101.36003,63.050007,13.945234,-9.602331,-10.961914,17.749023,0.0,7.48291,0.0,0.0,0.0,1059.6425,0.0,211.54997,2.0,1.0,0.0,4.0,3302.0,253.5,16.875,55.686275,0.10662842,105.263794,0.0,1.3916025,0.9140625,0.0,0.0,43.66,0.0,0.8125,0.0,0.6640625,-0.0078125,1.0,0.0,0.6484375,0.0,0.875,0.0,0.6484375,55.126225,56.723545,665.9935,624.86646,64.84985,9.728404,0.0,21.757559,13.797476,-42.453773,2.0,16.595459,96.80017,27.75,-3.0,6.3855824,0.0,1.396,0.0,0.10803223,-9.03125,0.6902313,0.68717957,0.6453705,0.5383301,2.0,1.0,1.0,5.0,0.7458496,0.80200195,0.96191406,0.52734375,1.8945312,1.9335938,1.71875,1.5820312,0.0,0.0,0.0,0.0,0.0,1.0,0.9638672,0.04666141,5.8349648,0.9296875,0.92999333,68.055725,0.7812499,0.0,-0.012207031,35.154404,35.543846,28.5,0.0,0.0,0.0,0.0,0.0,0.25,220.99994,2.5488281,-2.68579,0.0,1.0,0.3367361,1.0413771,1224.1113,105.554016,1.0,101.3418,-42.20502,-0.08291753,101.341774,43.5,281.25,450.0,10.0,0.0,-1.09375,4.7091494,10.04,0.0,0.08,0.0,0.0,-9.88,0.0,0.091552734,0.15999985,846.0,-1.71875,0.0,421.9375,-29.0,7.905143,8.402857,0.0,1240.8237,34.99756,0.0,27.048355,32.40625,0.0,-2.5268555,19.140625,16.566467,-2.030182,3.190918,27.029713,27.042141,27.116705,27.079422,1.3916016,0.0,5.834961,9.728404,0
494.356,0.003378519,-0.48439038,111.22535,112.62904,101.3582,63.050007,13.951117,-9.59441,-7.159424,6.7382812,0.0,0.0,0.0,0.0,0.0,1059.08,0.0,211.54997,2.0,1.0,0.0,4.0,3288.0,254.25,16.875,55.686275,0.103393555,105.18917,0.0,1.3916025,0.9140625,0.0,0.0,43.6,0.0,0.8125,0.0,0.6640625,-0.0078125,1.0,0.0,0.6484375,0.0,0.875,0.0,0.6484375,55.513615,56.951736,657.7681,624.86646,64.1346,9.728404,0.0,21.757559,13.53214,-34.759026,2.0,16.078186,96.66515,27.75,-13.125,6.32207,0.0,1.388,0.0,0.10925293,-9.0234375,0.69862366,0.68885803,0.6554413,0.5371094,2.0,1.0,1.0,5.0,0.76538086,0.7348633,0.9301758,0.49072266,1.9140625,1.9335938,1.7382812,1.5820312,0.0,0.0,0.0,0.0,0.0,1.0,0.9580078,0.029846212,5.3360023,0.9296875,0.92999333,68.91022,0.7812499,0.0,-0.012207031,35.20719,35.540176,28.5,0.0,0.0,0.0,0.0,0.0,0.25,220.99994,2.5488281,-2.685232,0.0,1.0,0.33683366,1.0409868,1223.448,105.51255,1.0,101.3418,-41.707516,-0.08291753,101.341774,43.41,281.625,450.0,10.0,0.0,-1.3125,4.704819,10.04,0.0,0.24,0.0,0.0,-9.85,0.0,0.08544922,0.18999863,847.1875,-1.59375,0.0,422.21875,-28.78125,7.3045983,8.402857,0.0,1284.3612,34.796143,0.0,26.986217,32.78125,0.0,-2.4749756,19.84253,17.320251,-1.4360046,3.6035156,26.97379,26.97379,26.986217,27.017286,1.3916016,0.0,5.3359985,9.728404,0
494.388,0.0027028152,-0.43750614,110.43503,112.54427,101.35738,63.050007,13.949375,-9.626434,-2.307129,2.307129,0.0,0.0,0.0,0.0,0.0,1059.08,0.0,211.54997,2.0,1.0,0.0,4.0,3267.0,255.0,6.75,55.686275,0.10101318,105.09796,0.0,1.3916025,0.921875,0.0,0.0,43.52,0.0,0.8125,0.0,0.6640625,-0.0078125,1.0,0.0,0.6484375,0.0,0.875,0.0,0.6484375,55.6622,55.84794,652.99207,624.86646,63.180923,9.580041,0.0,21.757559,13.53214,-30.778984,2.0,15.257263,96.54364,27.75,-13.125,5.996686,0.0,1.356,0.0,0.109069824,-9.0234375,0.70098877,0.6941223,0.6643677,0.5317688,2.0,1.0,1.0,5.0,0.76538086,0.83740234,0.9082031,0.501709,1.9140625,1.953125,1.7578125,1.5625,0.0,0.0,0.0,0.0,0.0,1.0,0.95996094,0.034027126,5.645756,0.9296875,0.92999333,69.46716,0.7812499,0.0,-0.015258789,34.985573,35.487034,28.125,0.0,0.0,0.0,0.0,0.0,0.25,220.99994,2.549591,-2.6830416,0.0,1.0,0.33619788,1.0414044,1224.0286,105.554016,1.0,101.35009,-41.95627,0.08291753,101.35007,43.37,281.625,450.0,10.0,0.0,-1.3125,4.8576055,10.04,0.0,0.0,0.0,0.0,-9.89,0.0,0.07324219,0.15000153,847.1875,-1.28125,0.0,422.71875,-29.0,7.168306,7.936031,0.0,1303.7675,34.576416,0.0,27.042141,32.71875,0.0,-2.5604248,20.983887,18.37616,-1.1753845,3.762207,27.042141,27.017286,27.029713,27.054567,1.3916016,0.0,5.645752,9.580041,0
494.419,0.0021622523,-0.41875246,108.77516,112.37473,101.35665,63.050007,13.942297,-9.672438,-1.3305664,1.2939453,0.0,0.0,0.0,0.0,0.0,1059.08,0.0,211.54997,2.0,1.0,0.0,4.0,3251.0,255.0,6.75,55.686275,0.10003662,105.0648,0.0,1.3916025,0.921875,0.0,0.0,43.45,0.0,0.8125,0.0,0.6640625,-0.0078125,1.0,0.0,0.6484375,0.0,0.875,0.0,0.6484375,55.365025,56.155727,649.012,624.86646,63.180923,9.66482,0.0,21.757559,13.266804,-25.206926,2.0,14.637756,96.43428,28.125,-13.125,5.8617015,0.0,1.332,0.0,0.10882568,-9.015625,0.7033539,0.6918335,0.6643677,0.5282593,2.0,1.0,1.0,5.0,0.76782227,0.6738281,0.76416016,0.501709,1.953125,1.9726562,1.7578125,1.5820312,0.0,0.0,0.0,0.0,0.0,1.0,0.96777344,0.03826907,6.091313,0.9296875,0.92999333,70.43457,0.7812499,0.0,-0.015258789,34.66766,35.471714,28.125,0.0,0.0,0.0,0.0,0.0,0.25,220.99994,2.5491333,-2.6830282,0.0,1.0,0.33573624,1.0423936,1224.8578,105.65352,1.0,101.35009,-42.619606,0.3316701,101.35007,43.18,281.25,450.0,10.0,0.0,-1.3125,4.979834,10.04,0.0,-0.32,0.0,0.0,-9.77,0.0,0.10986328,0.27000046,847.1875,-1.59375,0.0,423.09375,-29.0,7.3287563,7.936031,0.0,1311.98,34.747314,0.0,26.961363,32.65625,0.0,-2.6611328,21.844482,19.136047,-1.2611389,3.7841797,26.930294,26.97379,26.87437,26.72524,1.3916016,0.0,6.0913086,9.66482,0
494.457,0.0017298019,-0.43000102,107.76612,112.37473,101.355995,63.050007,13.943201,-9.713625,-0.7507324,0.7507324,0.0,0.0,0.0,0.0,0.0,1059.08,0.0,211.54997,2.0,1.0,0.0,4.0,3249.0,255.0,6.75,55.686275,0.099975586,105.015045,0.0,1.3916025,0.9296875,0.0,0.0,43.41,0.0,0.8125,0.0,0.6640625,-0.0078125,1.0,0.0,0.6484375,0.0,0.875,0.0,0.6484375,54.82905,55.280117,644.76666,624.86646,62.704086,9.70721,0.0,21.757559,13.001468,-20.696215,2.0,15.324402,96.33585,28.125,-13.125,5.8580956,0.0,1.332,0.0,0.10882568,-8.9765625,0.6983185,0.6981659,0.6678772,0.532074,2.0,1.0,1.0,5.0,0.6591797,0.87158203,0.75439453,0.6188965,1.9335938,1.9726562,1.7578125,1.5820312,0.0,0.0,0.0,0.0,0.0,1.0,1.0117188,0.07864386,8.320623,0.9296875,0.92999333,71.12274,0.7812499,0.0,-0.018310547,34.383026,35.399178,28.125,0.0,0.0,0.0,0.0,0.0,0.25,220.99994,2.5488281,-2.6837158,0.0,1.0,0.33436742,1.0445272,1225.1063,105.869095,1.0,101.35009,-44.85838,0.49750513,101.35007,43.14,280.875,450.0,10.0,0.0,-1.3125,5.546367,10.04,0.0,-0.08,0.0,0.0,-9.77,0.0,0.12817383,0.27000046,848.3125,-1.375,0.0,423.09375,-29.0,8.544326,7.936031,0.0,1310.9113,35.351562,0.0,26.843302,32.65625,0.0,-3.0578613,21.954346,18.849182,-1.0180664,3.7841797,26.843302,26.82466,26.930294,27.004858,1.3916016,0.0,8.320618,9.70721,0
494.488,0.0013838415,-0.4532504,106.05062,112.37473,101.35457,63.050007,13.937975,-9.763631,0.0,0.5371094,0.0,0.0,0.0,0.0,0.0,1059.08,0.0,211.54997,2.0,1.0,0.0,4.0,3254.0,254.25,6.75,55.686275,0.10028076,105.00675,0.0,1.3916025,0.921875,0.0,0.0,43.41,0.0,0.8125,0.0,0.6640625,-0.0078125,1.0,0.0,0.6484375,0.0,0.875,0.0,0.6484375,53.958744,55.71527,642.644,624.86646,61.750412,9.855573,0.0,21.757559,13.001468,-18.573524,2.0,15.725708,96.24727,28.125,-13.125,5.9199677,0.0,1.344,0.0,0.10864258,-8.984375,0.70358276,0.6978607,0.67092896,0.53512573,2.0,1.0,1.0,5.0,0.8483887,0.6945801,0.7714844,0.6188965,1.953125,1.9726562,1.7773438,1.6015625,0.0,0.0,0.0,0.0,0.0,1.0,0.99316406,0.07870489,8.624273,0.9296875,0.92999333,71.39282,0.7812499,0.0,-0.018310547,34.036823,35.4391,28.125,0.0,0.0,0.0,0.0,0.0,0.25,220.99994,2.5488281,-2.683947,0.0,1.0,0.3347445,1.044542,1225.0234,105.869095,1.0,101.3418,-45.190052,0.08291753,101.341774,43.22,280.5,450.0,10.0,0.0,-1.3125,6.1558437,10.04,0.0,-0.32,0.0,0.0,-9.85,0.0,0.14038086,0.18999863,848.3125,-1.53125,0.0,423.125,-29.0,9.294817,7.936031,0.0,1309.8425,35.21118,0.0,26.880583,32.59375,0.0,-3.0853271,22.058105,18.925476,-0.74005127,3.7841797,26.880583,26.855728,26.998644,26.998644,1.3916016,0.0,8.624268,9.855573,0
494.52,0.0011070733,-0.51880014,107.86746,112.4171,101.35329,63.050007,13.940176,-9.709795,0.0,0.4333496,0.0,0.0,0.0,0.0,0.0,1059.08,0.0,211.54997,2.0,1.0,0.0,4.0,3259.0,253.875,6.75,55.686275,0.10028076,104.98188,0.0,1.3916025,0.921875,0.0,0.0,43.2,0.0,0.8125,0.0,0.6640625,-0.0078125,1.0,0.0,0.6484375,0.0,0.875,0.0,0.6484375,53.847305,55.901005,643.44,624.86646,63.89618,9.791988,0.0,21.757559,12.736132,-18.042852,2.0,17.28363,96.16754,28.125,-13.125,6.0349402,0.0,1.368,0.0,0.109375,-8.9921875,0.70518494,0.6978607,0.6745148,0.5404663,2.0,1.0,1.0,5.0,0.7495117,0.9655762,0.7714844,0.68725586,1.953125,1.9726562,1.7773438,1.6015625,0.0,0.0,0.0,0.0,0.0,1.0,0.9794922,0.06192021,8.351141,0.9296875,0.92999333,71.90552,0.7812499,0.0,-0.018310547,34.406727,35.450256,28.125,0.0,0.0,0.0,0.0,0.0,0.25,220.99994,2.5488281,-2.6839657,0.0,1.0,0.334457,1.0457822,1224.9407,105.99347,1.0,101.3418,-45.93631,0.41458762,101.341774,43.14,280.5,450.0,10.0,0.0,-1.3125,6.487175,10.04,0.0,-0.08,0.0,0.0,-9.98,0.0,0.091552734,0.060001373,848.3125,-1.46875,0.0,423.03125,-28.78125,9.52326,7.936031,0.0,1309.3362,36.114502,0.0,26.849516,32.8125,0.0,-3.137207,21.40503,18.22052,-0.74005127,3.7792969,26.806019,26.87437,26.830873,26.806019,1.3916016,0.0,8.351135,9.791988,0
494.549,8.856586E-4,-0.56377006,108.27554,112.54427,101.35214,63.050007,13.9475765,-9.693214,0.0,0.4333496,0.0,0.0,0.0,0.0,0.0,1059.08,0.0,211.54997,2.0,1.0,0.0,4.0,3264.0,253.875,6.75,55.686275,0.09832764,104.98188,0.0,1.3916025,0.921875,0.0,0.0,43.22,0.0,0.8125,0.0,0.6640625,-0.0078125,1.0,0.0,0.6484375,0.0,0.875,0.0,0.6484375,54.638004,55.338493,643.7053,624.86646,63.419342,9.643625,0.0,21.757559,12.736132,-18.573524,2.0,16.462708,96.09579,28.125,-13.125,6.132565,0.0,1.388,0.0,0.11102295,-9.0,0.70518494,0.70732117,0.6807709,0.5440521,2.0,1.0,1.0,5.0,0.8544922,0.9655762,0.8532715,0.64208984,1.953125,2.0117188,1.796875,1.6015625,0.0,0.0,0.0,0.0,0.0,1.0,0.9667969,0.052825965,8.151251,0.9296875,0.92999333,71.80176,0.7812499,0.0,-0.015258789,34.519897,35.481716,28.125,0.0,0.0,0.0,0.0,0.0,0.25,220.99994,2.5488281,-2.6838903,0.0,1.0,0.33446598,1.046694,1225.0236,106.08468,1.0,101.3418,-47.26299,0.24875256,101.341774,43.09,280.875,450.0,10.0,0.0,-1.4,6.75224,10.05,0.0,-0.08,0.0,0.0,-9.92,0.0,0.08544922,0.13000107,849.875,-1.4375,0.0,422.9375,-29.0,9.533253,7.936031,0.0,1350.3987,36.52954,0.0,26.82466,33.3125,0.0,-3.414917,21.130371,17.662048,-0.74005127,3.7792969,26.843302,26.77495,26.880583,26.762524,1.3916016,0.0,8.151245,9.643625,0
494.587,7.085269E-4,-0.61925805,108.72453,112.41711,101.35194,63.050007,13.941038,-9.67295,0.0,0.4333496,0.0,0.0,0.0,0.0,0.0,1058.63,0.0,211.54997,2.0,1.0,0.0,4.0,3262.0,253.875,6.75,55.686275,0.09576416,104.91554,0.0,1.3916025,0.921875,0.0,0.0,43.11,0.0,0.8125,0.0,0.6640625,-0.0078125,1.0,0.0,0.6484375,0.0,0.875,0.0,0.6484375,55.02009,55.694042,644.76666,624.86646,63.65776,9.70721,0.0,21.757559,12.470796,-19.104197,2.0,16.362,96.03121,28.125,-13.125,6.07582,0.0,1.376,0.0,0.11206055,-9.0,0.7104492,0.7094574,0.6882477,0.5416107,2.0,1.0,1.0,5.0,0.7751465,0.6945801,0.892334,0.52246094,1.9726562,1.9921875,1.796875,1.6015625,0.0,0.0,0.0,0.0,0.0,1.0,0.9511719,0.038330104,7.800298,0.9296875,0.92999333,71.70868,0.7812499,0.0,-0.015258789,34.65942,35.496315,28.125,0.0,0.0,0.0,0.0,0.0,0.25,220.99994,2.5488281,-2.6838381,0.0,1.0,0.33423784,1.0478415,1225.8528,106.20077,1.0,101.35009,-48.423836,0.16583505,101.35007,43.01,280.875,450.0,10.0,0.0,-1.4,6.808042,10.05,0.0,-0.16,0.0,0.0,-9.95,0.0,0.07324219,0.10000229,849.875,-1.65625,0.0,422.96875,-29.0,9.359163,7.936031,0.0,1386.5112,36.88965,0.0,26.787378,33.625,0.0,-3.6193848,21.246338,17.56134,-0.74005127,3.7792969,26.750095,26.787378,26.806019,26.79359,1.3916016,0.0,7.800293,9.70721,0
494.618,5.668215E-4,-0.64145327,108.89935,112.37473,101.35175,63.050007,13.948179,-9.672978,0.0,0.4333496,0.0,0.0,0.0,0.0,0.0,1058.63,0.0,211.54997,2.0,1.0,0.0,4.0,3256.0,253.875,6.75,55.686275,0.0947876,104.89896,0.0,1.3916025,0.921875,0.0,0.0,43.17,0.0,0.8125,0.0,0.6640625,-0.0078125,1.0,0.0,0.6484375,0.0,0.875,0.0,0.6484375,55.386253,55.84794,646.624,624.86646,62.704086,9.791988,0.0,21.757559,12.470796,-20.696215,2.0,15.274048,95.97309,28.125,-13.125,6.064645,0.0,1.376,0.0,0.11206055,-9.0,0.71273804,0.70770264,0.6971741,0.54229736,2.0,1.0,1.0,5.0,0.84350586,0.6945801,0.9411621,0.56152344,1.9726562,2.0117188,1.8164062,1.6015625,0.0,0.0,0.0,0.0,0.0,1.0,0.9472656,0.02124025,7.2219896,0.9296875,0.92999333,71.51337,0.7812499,0.0,-0.015258789,34.65904,35.45814,28.125,0.0,0.0,0.0,0.0,0.0,0.25,220.99994,2.5488281,-2.6837988,0.0,1.0,0.3338784,1.0478435,1226.2675,106.20077,1.0,101.35009,-48.423836,0.0,101.35007,42.99,280.875,450.0,10.0,0.0,-1.4875,6.8526835,10.05,0.0,0.16,0.0,0.0,-9.87,0.0,0.07324219,0.17999649,849.875,-1.59375,0.0,423.0625,-29.0,8.978922,7.936031,0.0,1396.1863,36.66992,0.0,26.743881,33.625,0.0,-3.6010742,21.569824,17.903137,-0.74005127,3.7792969,26.750095,26.700386,26.72524,26.737667,1.3916016,0.0,7.221985,9.791988,0
494.648,4.534572E-4,-0.6315813,108.92937,112.33234,101.351585,63.050007,13.953178,-9.669441,0.0,0.4333496,0.0,0.0,0.0,0.0,0.0,1058.63,0.0,211.54997,2.0,1.0,0.0,4.0,3243.0,254.25,6.75,55.686275,0.09411621,104.874084,0.0,1.3916025,0.9296875,0.0,0.0,43.05,0.0,0.8125,0.0,0.6640625,-0.0078125,1.0,0.0,0.6484375,0.0,0.875,0.0,0.6484375,55.242973,55.87447,649.2774,624.86646,63.419342,9.791988,0.0,21.757559,12.470796,-22.553566,2.0,16.09497,95.920784,27.75,-13.125,5.882396,0.0,1.34,0.0,0.11187744,-9.0,0.71739197,0.7110596,0.70144653,0.54229736,2.0,1.0,1.0,5.0,0.84350586,0.80200195,0.8178711,0.53344727,1.9726562,2.0117188,1.8359375,1.6015625,0.0,0.0,0.0,0.0,0.0,1.0,0.9560547,0.020172134,7.244878,0.9296875,0.92999333,71.37451,0.7812499,0.0,-0.018310547,34.68325,35.43922,28.125,0.0,0.0,0.0,0.0,0.0,0.25,220.99994,2.5488281,-2.683767,0.0,1.0,0.33333582,1.0489906,1226.4332,106.31686,1.0,101.35009,-49.25301,0.3316701,101.35007,42.97,280.5,450.0,10.0,0.0,-1.4875,6.8883967,10.05,0.0,-0.24,0.0,0.0,-9.97,0.0,0.07324219,0.07999802,851.4375,-1.53125,0.0,423.40625,-29.09375,8.804277,7.936031,0.0,1401.1925,37.10327,0.0,26.737667,33.5625,0.0,-3.7231445,22.277832,18.489075,-0.74005127,3.7792969,26.737667,26.700386,26.750095,26.687958,1.3916016,0.0,7.244873,9.791988,0
494.686,3.6276577E-4,-0.60888255,109.448975,112.33234,101.3506,63.050007,13.950818,-9.658157,0.0,0.4333496,0.0,0.0,0.0,0.0,0.0,1058.63,0.0,211.54997,2.0,1.0,0.0,4.0,3237.0,254.625,6.75,55.686275,0.093444824,104.83263,0.0,1.3916025,0.9296875,0.0,0.0,42.88,0.0,0.8125,0.0,0.6640625,-0.0078125,1.0,0.0,0.6484375,0.0,0.875,0.0,0.6484375,55.47116,56.776615,650.60406,624.86646,63.89618,10.088716,0.0,21.757559,12.20546,-24.941591,2.0,15.524292,95.87371,27.75,-13.125,5.8890395,0.0,1.344,0.0,0.11206055,-9.0,0.71907043,0.71907043,0.71388245,0.54138184,2.0,1.0,1.0,5.0,0.83618164,0.9387207,1.0546875,0.6140137,1.9921875,2.03125,1.8554688,1.6015625,0.0,0.0,0.0,0.0,0.0,1.0,0.9707031,0.037200954,8.229071,0.9296875,0.92999333,70.86182,0.7812499,0.0,-0.018310547,34.76007,35.41059,28.125,0.0,0.0,0.0,0.0,0.0,0.25,220.99994,2.5483704,-2.6847928,0.0,1.0,0.3324443,1.0509642,1226.2673,106.51586,1.0,101.3418,-51.5747,0.3316701,101.341774,42.78,280.875,450.0,10.0,0.0,-1.4875,7.0732174,10.05,0.0,-0.08,0.0,0.0,-9.95,0.0,0.06713867,0.10000229,851.4375,-1.375,0.0,423.53125,-29.09375,9.220639,7.936031,0.0,1404.0613,37.82959,0.0,26.7066,33.625,0.0,-4.1015625,22.583008,18.415833,-0.74005127,3.7792969,26.700386,26.681744,26.681744,26.644463,1.3916016,0.0,8.229065,10.088716,0
494.719,2.9021263E-4,-0.59980303,109.926765,112.33234,101.34972,63.050007,13.955026,-9.642503,0.0,0.4333496,0.0,0.0,0.0,0.0,0.0,1058.63,0.0,211.54997,2.0,1.0,0.0,4.0,3236.0,254.25,6.75,55.686275,0.093444824,104.84092,0.0,1.3916025,0.921875,0.0,0.0,42.91,0.0,0.8125,0.0,0.6640625,-0.0078125,1.0,0.0,0.6484375,0.0,0.875,0.0,0.6484375,55.77895,55.8957,651.4001,624.86646,64.84985,9.876768,0.0,21.757559,11.940124,-26.002935,2.0,16.914368,95.831345,27.75,-13.125,5.9573064,0.0,1.36,0.0,0.11175537,-9.0,0.7231903,0.7195282,0.71388245,0.54397583,2.0,1.0,1.0,5.0,0.83618164,0.7324219,0.84716797,0.5883789,1.9921875,2.03125,1.8554688,1.6210938,0.0,0.0,0.0,0.0,0.0,1.0,0.98339844,0.05377201,9.317023,0.9296875,0.92999333,70.68176,0.7812499,0.0,-0.018310547,34.86712,35.402817,28.125,0.0,0.0,0.0,0.0,0.0,0.25,220.99994,2.5488281,-2.684116,0.0,1.0,0.33237132,1.0509734,1226.4331,106.51586,1.0,101.3418,-51.657616,0.08291753,101.341774,42.84,280.5,450.0,10.0,0.0,-1.4875,7.377324,10.05,0.0,-0.32,0.0,0.0,-9.98,0.0,0.07324219,0.069999695,851.4375,-1.25,0.0,423.53125,-29.09375,9.979512,7.936031,0.0,1404.7925,37.64038,0.0,26.613394,33.53125,0.0,-4.067993,22.63794,18.510437,-0.74005127,3.7792969,26.650675,26.551256,26.694172,26.632034,1.3916016,0.0,9.317017,9.876768,0
494.749,2.321701E-4,-0.59617126,107.941666,112.20517,101.34892,63.050007,13.957971,-9.704296,0.0,0.4333496,0.0,0.0,0.0,0.0,0.0,1058.63,0.0,211.54997,2.0,1.0,0.0,4.0,3231.0,254.25,6.75,55.686275,0.093444824,104.84092,0.0,1.3916025,0.9296875,0.0,0.0,42.95,0.0,0.8125,0.0,0.6640625,-0.0078125,1.0,0.0,0.6484375,0.0,0.875,0.0,0.6484375,55.55607,55.00417,653.52277,624.86646,64.1346,9.749599,0.0,21.757559,11.940124,-26.798944,2.0,14.486694,95.79321,28.125,-13.125,6.0880566,0.0,1.392,0.0,0.111328125,-8.9140625,0.72509766,0.71395874,0.7186127,0.545578,2.0,1.0,1.0,5.0,0.7775879,0.6713867,0.8520508,0.5883789,1.9921875,2.0117188,1.875,1.6210938,0.0,0.0,0.0,0.0,0.0,1.0,0.9746094,0.05682377,9.655768,0.9296875,0.92999333,70.57037,0.7812499,0.0,-0.018310547,34.44028,35.4076,28.125,0.0,0.0,0.0,0.0,0.0,0.25,220.99994,2.5482178,-2.6852112,0.0,1.0,0.3317706,1.0530268,1226.6818,106.72314,1.0,101.3418,-53.730556,0.16583505,101.341774,42.76,281.25,450.0,10.0,0.0,-1.4875,7.7768593,10.05,0.0,0.0,0.0,0.0,-9.86,0.0,0.0793457,0.19000244,853.0,-1.28125,0.0,423.6875,-29.09375,10.52412,7.936031,0.0,1404.5675,37.854004,0.0,26.62582,33.40625,0.0,-4.3670654,22.906494,18.47992,-0.74005127,3.7792969,26.60718,26.619608,26.632034,26.656889,1.3916016,0.0,9.655762,9.749599,0
